mint,symbol,migration_time,signature
9Eb9AHfd3gErqDv5wP1fTZTATiW9E2ujf3s6dGRKpump,,2026-09-24T07:11:15Z,NMwu9XiKwJhVdygp8iBRUF4H9266cdXg48XZeFGsVLj4AqCayjWkZDgdwJ2X4i7PSFtmkvkeDEqeWTfj21y46hJ
vQGq2KuagJ47HiYmAxiiqke2z7A4eVTEHFDBRX2pump,,2026-09-24T07:13:24Z,3s7m6jjZkoVcX5DRUPB7xSzGqiPVRAK67Zc3aur5iuYTacgrwRNxGoA3xfq8Y2Euuw1rjognE4LBRBCd5fgVyChL
EfSzVXoeswSDZs5Hq583i44dwemagxW477JaNcNpump,,2026-09-24T07:13:48Z,2zJhQMA9Buw5i5q8BTMXBCDiKggoyhDHf5dwjzFghj6rE78F91BoP3T1rDSpsBe1Cx2RScYbbmU4grRjYKLu1a2C
ExSk7HpQZVoR7Q1GPVpFXtdYbcJmXS88f49DMtfdpump,,2026-09-24T07:14:49Z,59kcR2N3gML7nmVisJpac5aV2dFUsQB1sdktt2tpsw6zahjgvgLAX9szSkLXmXygviHScVfb9yeyo5JPMRTQuK41
A8fgDLk9rLHpJnFsd691xb5vaYfWnwkivxTZYYBopump,,2026-09-24T07:16:41Z,2zHdACj3VjxWMSyxpTNJMHTFPGuFXE3ygLWPAANKzY2x8LSVzxHRPdVzw1ZFHvSNAY7tcTVUNXcRXAJosd4PmymN
w9HuKQrrWLpLrL5F9pqN4Qb5LA4NFZ8KLgAMZFMpump,,2026-09-24T07:20:54Z,4bTiscS1mkUs6csk4qsHSVXEVf7tmWvTt94Rtfu8PzE8gRb6JHqXC5zYp2Am6MatGh2vh5rmUNkndrh8wgcdmaWF
nWXrvifLZdXcuvSnKgzw2emvSTd4GzrdvMYhPSZpump,,2026-09-24T07:23:02Z,2c9JPUfiBrmm6doGKEjZw6BYCKmSTBmkXX5b9fnVVM7rCTAghLB6ob5MCzruFRmACqLSniJQTEDxdiHJwCEkdQGo
BbMmgDNZyp8jEBUpMmSG1L1aqtLvu1ZKZiLNuHXDpump,,2026-09-24T07:23:20Z,4xZgsbxV6B94jFife7XSVqbLwHNJX5ukiqyx891ajCnSeREWjFWznttFPTbzq124dbk89tsPHFDbVZYAYXsTHAe5
3DSMjeDCgWFTd1EYJomnp8ZgfKw5Jm75ruRD1BuXpump,,2026-09-24T07:25:03Z,N7v7Wg8dWvsou2UBEvqFDzig7JBaCV2ReVnSXxhsLgTJGX7vwsxRshw98xVyEyatH4B9hMBVhZjPmbkuqhGtGzL
3prU6LwoaTGEDksZgYafjBoPK2B2E3M7Z4KAo9Ajpump,,2026-09-24T07:25:25Z,3ZynbvuXDSfCzTvwyAfVC7zHoD37S9weKpX3ycr3zjFRykDeezZL3iTsdDYms42EzvyuJvwqEp1MK9v4fPTY2dhH
GE5wH9JEFEnszr6iknwcYpH8YTmPYx78Ms3GVpBNpump,,2026-09-24T07:27:23Z,4LG5K3AeLbQC9ViC7eH6Bje44kVvxmfYKcknGy9nBi8HkUSSt2LragSma8JqvSKbjeELTcAyRdE9dTfvJvrZVWdJ
4NjMfEyVMQyJKU7WZqRptEVQPVcszUcgSJwxXZvkpump,,2026-09-24T07:27:44Z,jejXRwaXyxKDpmyyNh3EyaQ88reNk8uPybuNcxA9JEo5y2WBZ79essXoABN6LyoUb5eCXWcbYeMhtwpwEVNDwj1
